gene_id	gene_type	gene_name
ENSG00000130508	protein_coding	PXDN
ENSG00000186487	protein_coding	MYT1L
ENSG00000284600	lncRNA	AC093390.2
ENSG00000232057	lncRNA	AC093390.1
ENSG00000225619	lncRNA	MYT1L-AS1
ENSG00000234929	lncRNA	AC018685.2
ENSG00000287583	lncRNA	AC018685.3
ENSG00000237720	lncRNA	AC011995.2
ENSG00000227364	lncRNA	AC018685.1
ENSG00000228391	lncRNA	AC011995.1
ENSG00000234423	lncRNA	LINC01250
ENSG00000236760	lncRNA	AC019118.2
ENSG00000226649	lncRNA	AC019118.1
ENSG00000032389	protein_coding	EIPR1
ENSG00000224885	lncRNA	EIPR1-IT1
ENSG00000171853	protein_coding	TRAPPC12
ENSG00000225234	lncRNA	TRAPPC12-AS1
ENSG00000271868	lncRNA	AC114810.1
ENSG00000182551	protein_coding	ADI1
ENSG00000235078	lncRNA	AC231981.1
ENSG00000242282	lncRNA	AC108488.1
ENSG00000171865	protein_coding	RNASEH1
ENSG00000234171	lncRNA	RNASEH1-AS1
ENSG00000287126	lncRNA	AC108488.3
ENSG00000171863	protein_coding	RPS7
ENSG00000118004	protein_coding	COLEC11
ENSG00000237370	lncRNA	AC010907.2
ENSG00000151360	protein_coding	ALLC
ENSG00000224661	lncRNA	AC010907.1
ENSG00000214866	protein_coding	DCDC2C
ENSG00000237401	lncRNA	LINC01304
ENSG00000229550	lncRNA	AC012445.1
ENSG00000231532	lncRNA	LINC01249
ENSG00000232835	lncRNA	AC107057.1
ENSG00000224128	lncRNA	LINC01248
ENSG00000230090	lncRNA	AC108025.1
ENSG00000176887	protein_coding	SOX11
ENSG00000242540	lncRNA	AC010729.2
ENSG00000236106	lncRNA	AC010729.1
ENSG00000237266	lncRNA	LINC01810
ENSG00000232044	lncRNA	SILC1
ENSG00000234275	lncRNA	AC017053.1
ENSG00000227007	lncRNA	LINC01247
ENSG00000226488	lncRNA	LINC01824
ENSG00000236172	lncRNA	MIR7515HG
ENSG00000286851	lncRNA	AC097517.1
ENSG00000205837	lncRNA	LINC00487
ENSG00000225964	lncRNA	NRIR
ENSG00000134326	protein_coding	CMPK2
ENSG00000134321	protein_coding	RSAD2
ENSG00000271947	lncRNA	AC017076.1
ENSG00000228203	lncRNA	RNF144A-AS1
ENSG00000151692	protein_coding	RNF144A
ENSG00000223884	lncRNA	AC068481.1
ENSG00000272002	lncRNA	AC010904.2
ENSG00000229727	lncRNA	AC013460.1
ENSG00000287119	lncRNA	AC092580.4
ENSG00000230515	lncRNA	AC092580.2
ENSG00000235576	lncRNA	LINC01871
ENSG00000226506	lncRNA	AC007463.1
ENSG00000235665	lncRNA	LINC00298
ENSG00000286857	lncRNA	AC007463.2
ENSG00000236790	lncRNA	LINC00299
ENSG00000229740	lncRNA	U91324.1
ENSG00000236008	lncRNA	LINC01814
ENSG00000285591	lncRNA	AC092617.1
ENSG00000231083	lncRNA	AC011747.1
ENSG00000235092	lncRNA	ID2-AS1
ENSG00000115738	protein_coding	ID2
ENSG00000134313	protein_coding	KIDINS220
ENSG00000143797	protein_coding	MBOAT2
ENSG00000242136	lncRNA	AC093904.2
ENSG00000261104	lncRNA	AC093904.4
ENSG00000244310	lncRNA	AC093904.3
ENSG00000240980	lncRNA	AC093904.1
ENSG00000151693	protein_coding	ASAP2
ENSG00000119185	protein_coding	ITGB1BP1
ENSG00000119203	protein_coding	CPSF3
ENSG00000134330	protein_coding	IAH1
ENSG00000151694	protein_coding	ADAM17
ENSG00000239300	lncRNA	AC080162.1
ENSG00000271855	lncRNA	AC073195.1
ENSG00000134308	protein_coding	YWHAQ
ENSG00000240687	lncRNA	AC082651.1
ENSG00000244260	lncRNA	AC082651.4
ENSG00000243491	lncRNA	AC082651.3
ENSG00000115750	protein_coding	TAF1B
ENSG00000269973	lncRNA	AC010969.2
ENSG00000287305	lncRNA	AC010969.3
ENSG00000134317	protein_coding	GRHL1
ENSG00000188525	lncRNA	AC010969.1
ENSG00000260476	lncRNA	AC104794.4
ENSG00000260077	lncRNA	AC104794.3
ENSG00000172059	protein_coding	KLF11
ENSG00000271787	lncRNA	AC104794.5
ENSG00000205795	protein_coding	CYS1
ENSG00000233502	lncRNA	AC104794.2
ENSG00000171848	protein_coding	RRM2
ENSG00000285872	lncRNA	AC007240.3
ENSG00000115756	protein_coding	HPCAL1
ENSG00000115758	protein_coding	ODC1
ENSG00000257135	lncRNA	ODC1-DT
ENSG00000115761	protein_coding	NOL10
ENSG00000234818	lncRNA	AC007314.1
ENSG00000243819	lncRNA	RN7SL832P
ENSG00000236162	lncRNA	AC092687.2
ENSG00000143882	protein_coding	ATP6V1C2
ENSG00000272275	lncRNA	AC092687.3
ENSG00000143870	protein_coding	PDIA6
ENSG00000271952	lncRNA	LINC01954
ENSG00000232056	lncRNA	AC092687.1
ENSG00000162975	protein_coding	KCNF1
ENSG00000145063	lncRNA	AC062028.1
ENSG00000150873	protein_coding	C2orf50
ENSG00000162976	protein_coding	SLC66A3
ENSG00000134318	protein_coding	ROCK2
ENSG00000230952	lncRNA	AC099344.1
ENSG00000231403	lncRNA	AC099344.2
ENSG00000224177	lncRNA	LINC00570
ENSG00000285569	lncRNA	AC099344.3
ENSG00000169016	protein_coding	E2F6
ENSG00000196208	protein_coding	GREB1
ENSG00000169006	protein_coding	NTSR2
ENSG00000276411	lncRNA	AC106875.2
ENSG00000134324	protein_coding	LPIN1
ENSG00000228496	lncRNA	AC106875.1
ENSG00000203643	lncRNA	AC012456.1
ENSG00000230790	lncRNA	AC012456.2
ENSG00000224184	lncRNA	MIR3681HG
ENSG00000223360	lncRNA	AC096559.1
ENSG00000286427	lncRNA	AC009486.2
ENSG00000261117	lncRNA	AC009486.1
ENSG00000071575	protein_coding	TRIB2
ENSG00000225649	lncRNA	AC064875.1
ENSG00000285876	lncRNA	AC093912.1
ENSG00000229370	lncRNA	AC073062.1
ENSG00000230448	lncRNA	LINC00276
ENSG00000227718	lncRNA	AC016730.1
ENSG00000228505	lncRNA	AC011897.1
ENSG00000162981	protein_coding	LRATD1
ENSG00000287291	lncRNA	AC068286.2
ENSG00000235127	lncRNA	AC068286.1
ENSG00000151779	protein_coding	NBAS
ENSG00000234022	lncRNA	AC008278.2
ENSG00000079785	protein_coding	DDX1
ENSG00000224194	lncRNA	AC008278.1
ENSG00000231031	lncRNA	LINC01804
ENSG00000237326	lncRNA	AC113608.2
ENSG00000233718	lncRNA	MYCNOS
ENSG00000223850	lncRNA	MYCNUT
ENSG00000134323	protein_coding	MYCN
ENSG00000226764	lncRNA	AC010145.1
ENSG00000236289	lncRNA	GACAT3
ENSG00000236989	lncRNA	AC130710.1
ENSG00000226041	lncRNA	AC010745.1
ENSG00000228876	lncRNA	AC010745.2
ENSG00000231266	lncRNA	AC010745.3
ENSG00000285354	lncRNA	AC010745.5
ENSG00000232444	lncRNA	AC010745.4
ENSG00000224400	lncRNA	AC010880.1
ENSG00000237633	lncRNA	AC104623.1
ENSG00000197872	protein_coding	FAM49A
ENSG00000223536	lncRNA	AC008164.1
ENSG00000237670	lncRNA	LINC01866
ENSG00000214842	protein_coding	RAD51AP2
ENSG00000163032	protein_coding	VSNL1
ENSG00000163029	protein_coding	SMC6
ENSG00000178295	protein_coding	GEN1
ENSG00000151379	protein_coding	MSGN1
ENSG00000170745	protein_coding	KCNS3
ENSG00000287881	lncRNA	AC079148.3
ENSG00000287849	lncRNA	AC079148.2
ENSG00000260331	lncRNA	AC079148.1
ENSG00000240857	protein_coding	RDH14
ENSG00000185013	protein_coding	NT5C1B
ENSG00000224626	lncRNA	AC106053.1
ENSG00000287284	lncRNA	AC130814.1
ENSG00000236204	lncRNA	LINC01376
ENSG00000143867	protein_coding	OSR1
ENSG00000234597	lncRNA	AC010096.1
ENSG00000237992	lncRNA	LINC01808
ENSG00000235911	lncRNA	AC019055.1
ENSG00000228784	lncRNA	LINC00954
ENSG00000183891	protein_coding	TTC32
ENSG00000271991	lncRNA	AC013400.1
ENSG00000118965	protein_coding	WDR35
ENSG00000227210	lncRNA	AC079145.1
ENSG00000132031	protein_coding	MATN3
ENSG00000068697	protein_coding	LAPTM4A
ENSG00000223734	lncRNA	LAPTM4A-DT
ENSG00000234378	lncRNA	AC098828.2
ENSG00000115884	protein_coding	SDC1
ENSG00000055917	protein_coding	PUM2
ENSG00000143878	protein_coding	RHOB
ENSG00000228950	lncRNA	AC023137.1
ENSG00000227047	lncRNA	AC012065.1
ENSG00000118960	protein_coding	HS1BP3
ENSG00000269976	lncRNA	AC012065.3
ENSG00000231948	lncRNA	HS1BP3-IT1
ENSG00000143869	protein_coding	GDF7
ENSG00000270100	lncRNA	AC012065.4
ENSG00000118961	protein_coding	LDAH
ENSG00000236436	lncRNA	LINC02850
ENSG00000261012	lncRNA	AC115619.1
ENSG00000084674	protein_coding	APOB
ENSG00000287956	lncRNA	AC010872.2
ENSG00000218819	protein_coding	TDRD15
ENSG00000233005	lncRNA	AC018742.1
ENSG00000231204	lncRNA	AC011752.1
ENSG00000235537	lncRNA	AC009411.2
ENSG00000228538	lncRNA	AC009411.1
ENSG00000229621	lncRNA	LINC01822
ENSG00000228999	lncRNA	AC096570.1
ENSG00000234207	lncRNA	AC096570.2
ENSG00000233587	lncRNA	LINC01884
ENSG00000232451	lncRNA	AC018467.1
ENSG00000223530	lncRNA	AC012506.1
ENSG00000233714	lncRNA	AC012506.3
ENSG00000223634	lncRNA	AC012506.2
ENSG00000235497	lncRNA	AC012506.4
ENSG00000119771	protein_coding	KLHL29
ENSG00000224361	lncRNA	AC011239.1
ENSG00000283031	lncRNA	AC009242.1
ENSG00000119778	protein_coding	ATAD2B
ENSG00000173960	protein_coding	UBXN2A
ENSG00000205639	protein_coding	MFSD2B
ENSG00000163026	protein_coding	WDCP
ENSG00000119782	protein_coding	FKBP1B
ENSG00000115128	protein_coding	SF3B6
ENSG00000219626	protein_coding	FAM228B
ENSG00000115129	protein_coding	TP53I3
ENSG00000176732	protein_coding	PFN4
ENSG00000232642	lncRNA	AC008073.2
ENSG00000186453	protein_coding	FAM228A
ENSG00000223754	lncRNA	AC008073.1
ENSG00000198399	protein_coding	ITSN2
ENSG00000242628	lncRNA	AC009228.1
ENSG00000286829	lncRNA	AC093798.1
ENSG00000084676	protein_coding	NCOA1
ENSG00000184924	protein_coding	PTRHD1
ENSG00000138092	protein_coding	CENPO
ENSG00000138031	protein_coding	ADCY3
ENSG00000271936	lncRNA	AC012073.1
ENSG00000115137	protein_coding	DNAJC27
ENSG00000224165	lncRNA	DNAJC27-AS1
ENSG00000286645	lncRNA	AC013267.2
ENSG00000084710	protein_coding	EFR3B
ENSG00000115138	protein_coding	POMC
ENSG00000230452	lncRNA	LINC01381
ENSG00000119772	protein_coding	DNMT3A
ENSG00000235072	lncRNA	AC012074.1
ENSG00000138101	protein_coding	DTNB
ENSG00000224220	lncRNA	AC104699.1
ENSG00000143970	protein_coding	ASXL2
ENSG00000084731	protein_coding	KIF3C
ENSG00000084733	protein_coding	RAB10
ENSG00000157833	protein_coding	GAREM2
ENSG00000084754	protein_coding	HADHA
ENSG00000138029	protein_coding	HADHB
ENSG00000286707	lncRNA	AC010896.1
ENSG00000173567	protein_coding	ADGRF3
ENSG00000138018	protein_coding	SELENOI
ENSG00000157856	protein_coding	DRC1
ENSG00000115155	protein_coding	OTOF
ENSG00000173557	protein_coding	FAM166C
ENSG00000157884	protein_coding	CIB4
ENSG00000225378	lncRNA	AC015977.2
ENSG00000171303	protein_coding	KCNK3
ENSG00000213699	protein_coding	SLC35F6
ENSG00000115163	protein_coding	CENPA
ENSG00000157851	protein_coding	DPYSL5
ENSG00000230286	lncRNA	AC013472.2
ENSG00000084764	protein_coding	MAPRE3
ENSG00000205500	lncRNA	AC013472.1
ENSG00000119777	protein_coding	TMEM214
ENSG00000084693	protein_coding	AGBL5
ENSG00000231636	lncRNA	AGBL5-AS1
ENSG00000272056	lncRNA	AC013472.3
ENSG00000229122	lncRNA	AGBL5-IT1
ENSG00000272148	lncRNA	AC013403.2
ENSG00000228474	protein_coding	OST4
ENSG00000138080	protein_coding	EMILIN1
ENSG00000138030	protein_coding	KHK
ENSG00000138028	protein_coding	CGREF1
ENSG00000143994	protein_coding	ABHD1
ENSG00000138073	protein_coding	PREB
ENSG00000186143	protein_coding	PRR30
ENSG00000163792	protein_coding	TCF23
ENSG00000138074	protein_coding	SLC5A6
ENSG00000138085	protein_coding	ATRAID
ENSG00000084774	protein_coding	CAD
ENSG00000115194	protein_coding	SLC30A3
ENSG00000163793	protein_coding	DNAJC5G
ENSG00000138100	protein_coding	TRIM54
ENSG00000163794	protein_coding	UCN
ENSG00000115204	protein_coding	MPV17
ENSG00000115207	protein_coding	GTF3C2
ENSG00000234945	lncRNA	GTF3C2-AS1
ENSG00000234072	lncRNA	AC074117.1
ENSG00000115211	protein_coding	EIF2B4
ENSG00000115234	protein_coding	SNX17
ENSG00000163795	protein_coding	ZNF513
ENSG00000115241	protein_coding	PPM1G
ENSG00000115216	protein_coding	NRBP1
ENSG00000157992	protein_coding	KRTCAP3
ENSG00000138002	protein_coding	IFT172
ENSG00000115226	protein_coding	FNDC4
ENSG00000084734	protein_coding	GCKR
ENSG00000221843	protein_coding	C2orf16
ENSG00000243943	protein_coding	ZNF512
ENSG00000176714	protein_coding	CCDC121
ENSG00000198522	protein_coding	GPN1
ENSG00000119760	protein_coding	SUPT7L
ENSG00000163798	protein_coding	SLC4A1AP
ENSG00000205334	lncRNA	LINC01460
ENSG00000243147	protein_coding	MRPL33
ENSG00000171174	protein_coding	RBKS
ENSG00000158019	protein_coding	BABAM2
ENSG00000223522	lncRNA	AC093690.1
ENSG00000229951	lncRNA	AC104695.2
ENSG00000075426	protein_coding	FOSL2
ENSG00000270640	lncRNA	AC104695.4
ENSG00000270210	lncRNA	AC104695.3
ENSG00000227938	lncRNA	AC104695.1
ENSG00000163803	protein_coding	PLB1
ENSG00000230730	lncRNA	AC074011.1
ENSG00000226833	lncRNA	AC092164.1
ENSG00000213639	protein_coding	PPP1CB
ENSG00000163806	protein_coding	SPDYA
ENSG00000273233	lncRNA	AC097724.1
ENSG00000171103	protein_coding	TRMT61B
ENSG00000163811	protein_coding	WDR43
ENSG00000189350	protein_coding	TOGARAM2
ENSG00000179270	protein_coding	PCARE
ENSG00000229224	lncRNA	AC105398.1
ENSG00000115295	protein_coding	CLIP4
ENSG00000171094	protein_coding	ALK
ENSG00000286963	lncRNA	AC074096.1
ENSG00000233862	lncRNA	AC016907.2
ENSG00000230737	lncRNA	AC106870.2
ENSG00000197644	lncRNA	AC106870.1
ENSG00000119801	protein_coding	YPEL5
ENSG00000213626	protein_coding	LBH
ENSG00000287658	lncRNA	AC109642.1
ENSG00000235997	lncRNA	LINC01936
ENSG00000172954	protein_coding	LCLAT1
ENSG00000162949	protein_coding	CAPN13
ENSG00000285984	lncRNA	AC009301.1
ENSG00000158089	protein_coding	GALNT14
ENSG00000234579	lncRNA	AC009305.1
ENSG00000214711	protein_coding	CAPN14
ENSG00000013016	protein_coding	EHD3
ENSG00000158125	protein_coding	XDH
ENSG00000277893	protein_coding	SRD5A2
ENSG00000228563	lncRNA	AL133247.1
ENSG00000223647	lncRNA	LINC01946
ENSG00000273165	lncRNA	AL121652.1
ENSG00000162959	protein_coding	MEMO1
ENSG00000162961	protein_coding	DPY30
ENSG00000271228	lncRNA	AL121655.1
ENSG00000021574	protein_coding	SPAST
ENSG00000272716	lncRNA	AL121658.1
ENSG00000152683	protein_coding	SLC30A6
ENSG00000091106	protein_coding	NLRC4
ENSG00000119820	protein_coding	YIPF4
ENSG00000272754	lncRNA	AL133245.1
ENSG00000115760	protein_coding	BIRC6
ENSG00000230046	lncRNA	BIRC6-AS1
ENSG00000276334	lncRNA	AL133243.2
ENSG00000276517	lncRNA	AL133243.3
ENSG00000274159	lncRNA	AL133243.1
ENSG00000018699	protein_coding	TTC27
ENSG00000230876	lncRNA	LINC00486
ENSG00000236854	lncRNA	AL133244.2
ENSG00000049323	protein_coding	LTBP1
ENSG00000285577	lncRNA	AC019127.1
ENSG00000152689	protein_coding	RASGRP3
ENSG00000237133	lncRNA	AC020594.1
ENSG00000119812	protein_coding	FAM98A
ENSG00000286415	lncRNA	AC017050.1
ENSG00000228262	lncRNA	LINC01320
ENSG00000237790	lncRNA	LINC01318
ENSG00000285754	lncRNA	AC008170.1
ENSG00000272027	lncRNA	AC073218.1
ENSG00000232153	lncRNA	AC012593.1
ENSG00000226994	lncRNA	AC079352.1
ENSG00000237320	lncRNA	AC019064.1
ENSG00000260025	lncRNA	CRIM1-DT
ENSG00000150938	protein_coding	CRIM1
ENSG00000273090	lncRNA	AC007378.1
ENSG00000171055	protein_coding	FEZ2
ENSG00000205221	protein_coding	VIT
ENSG00000115808	protein_coding	STRN
ENSG00000008869	protein_coding	HEATR5B
ENSG00000152133	protein_coding	GPATCH11
ENSG00000055332	protein_coding	EIF2AK2
ENSG00000138068	protein_coding	SULT6B1
ENSG00000218739	protein_coding	CEBPZOS
ENSG00000115816	protein_coding	CEBPZ
ENSG00000272054	lncRNA	AC007390.2
ENSG00000003509	protein_coding	NDUFAF7
ENSG00000115825	protein_coding	PRKD3
ENSG00000232028	lncRNA	AC007391.1
ENSG00000285925	lncRNA	AC007391.2
ENSG00000115828	protein_coding	QPCT
ENSG00000287316	lncRNA	AC007391.3
ENSG00000236213	lncRNA	AC006369.1
ENSG00000163171	protein_coding	CDC42EP3
ENSG00000236572	lncRNA	AC006369.2
ENSG00000237803	lncRNA	LINC00211
ENSG00000115841	protein_coding	RMDN2
ENSG00000235848	lncRNA	RMDN2-AS1
ENSG00000138061	protein_coding	CYP1B1
ENSG00000232973	lncRNA	CYP1B1-AS1
ENSG00000229160	lncRNA	AC009229.2
ENSG00000273006	lncRNA	AC009229.3
ENSG00000227292	lncRNA	AC009229.1
ENSG00000119787	protein_coding	ATL2
ENSG00000231367	lncRNA	LINC02613
ENSG00000287313	lncRNA	AC016995.1
ENSG00000235009	lncRNA	LINC01883
ENSG00000143889	protein_coding	HNRNPLL
ENSG00000235586	lncRNA	AC011247.1
ENSG00000143891	protein_coding	GALM
ENSG00000232518	lncRNA	AC074366.1
ENSG00000115875	protein_coding	SRSF7
ENSG00000152147	protein_coding	GEMIN6
ENSG00000163214	protein_coding	DHX57
ENSG00000225284	lncRNA	AC018693.1
ENSG00000188010	protein_coding	MORN2
ENSG00000214694	protein_coding	ARHGEF33
ENSG00000269210	lncRNA	AC019171.1
ENSG00000115904	protein_coding	SOS1
ENSG00000229692	lncRNA	SOS1-IT1
ENSG00000205111	protein_coding	CDKL4
ENSG00000011566	protein_coding	MAP4K3
ENSG00000273035	lncRNA	AC007684.2
ENSG00000231312	lncRNA	MAP4K3-DT
ENSG00000152154	protein_coding	TMEM178A
ENSG00000138050	protein_coding	THUMPD2
ENSG00000227028	lncRNA	SLC8A1-AS1
ENSG00000183023	protein_coding	SLC8A1
ENSG00000287255	lncRNA	AC007877.1
ENSG00000285898	lncRNA	AC007317.1
ENSG00000287468	lncRNA	AC007317.2
ENSG00000233128	lncRNA	LINC01794
ENSG00000287145	lncRNA	AC009413.2
ENSG00000214691	lncRNA	LINC01913
ENSG00000234362	lncRNA	LINC01914
ENSG00000205086	protein_coding	C2orf91
ENSG00000226398	lncRNA	AC013480.1
ENSG00000162878	protein_coding	PKDCC
ENSG00000224875	lncRNA	AC083949.1
ENSG00000143924	protein_coding	EML4
ENSG00000115944	protein_coding	COX7A2L
ENSG00000171126	protein_coding	KCNG3
ENSG00000057935	protein_coding	MTA3
ENSG00000162881	protein_coding	OXER1
ENSG00000162882	protein_coding	HAAO
ENSG00000224739	lncRNA	AC016735.1
ENSG00000231826	lncRNA	LINC01819
ENSG00000233978	lncRNA	LINC02590
ENSG00000230587	lncRNA	LINC02580
ENSG00000286796	lncRNA	AC010883.2
ENSG00000287387	lncRNA	AC010883.3
ENSG00000152518	protein_coding	ZFP36L2
ENSG00000279873	lncRNA	LINC01126
ENSG00000234936	lncRNA	AC010883.1
ENSG00000115970	protein_coding	THADA
ENSG00000152527	protein_coding	PLEKHH2
ENSG00000223658	protein_coding	C1GALT1C1L
ENSG00000138036	protein_coding	DYNC2LI1
ENSG00000138075	protein_coding	ABCG5
ENSG00000143921	protein_coding	ABCG8
ENSG00000138095	protein_coding	LRPPRC
ENSG00000273106	lncRNA	AC019129.2
ENSG00000138032	protein_coding	PPM1B
ENSG00000138079	protein_coding	SLC3A1
ENSG00000138078	protein_coding	PREPL
ENSG00000143919	protein_coding	CAMKMT
ENSG00000259439	lncRNA	LINC01833
ENSG00000236502	lncRNA	SIX3-AS1
ENSG00000138083	protein_coding	SIX3
ENSG00000225156	lncRNA	AC012354.1
ENSG00000170577	protein_coding	SIX2
ENSG00000231156	lncRNA	AC093702.1
ENSG00000205054	lncRNA	LINC01121
ENSG00000231054	lncRNA	AC093833.1
ENSG00000286728	lncRNA	AC009236.2
ENSG00000286519	lncRNA	AC009236.1
ENSG00000068784	protein_coding	SRBD1
ENSG00000171132	protein_coding	PRKCE
ENSG00000228481	lncRNA	U51244.1
ENSG00000232696	lncRNA	AC017006.2
ENSG00000231336	lncRNA	AC017006.1
ENSG00000116016	protein_coding	EPAS1
ENSG00000228100	lncRNA	LINC01820
ENSG00000187600	lncRNA	LINC02583
ENSG00000284701	protein_coding	TMEM247
ENSG00000250565	protein_coding	ATP6V1E2
ENSG00000253515	lncRNA	AC018682.2
ENSG00000119729	protein_coding	RHOQ
ENSG00000250116	lncRNA	AC018682.1
ENSG00000151665	protein_coding	PIGF
ENSG00000119878	protein_coding	CRIPT
ENSG00000222005	lncRNA	LINC01118
ENSG00000171150	protein_coding	SOCS5
ENSG00000239332	lncRNA	LINC01119
ENSG00000226548	lncRNA	AC016722.1
ENSG00000228925	lncRNA	AC016722.2
ENSG00000180398	protein_coding	MCFD2
ENSG00000068724	protein_coding	TTC7A
ENSG00000272814	lncRNA	AC093732.2
ENSG00000233845	lncRNA	AC093732.1
ENSG00000239605	protein_coding	STPG4
ENSG00000225187	lncRNA	AC073283.1
ENSG00000143933	protein_coding	CALM2
ENSG00000234690	lncRNA	EPCAM-DT
ENSG00000226087	lncRNA	AC073283.2
ENSG00000119888	protein_coding	EPCAM
ENSG00000095002	protein_coding	MSH2
ENSG00000184261	protein_coding	KCNK12
ENSG00000235760	lncRNA	AC138655.1
ENSG00000116062	protein_coding	MSH6
ENSG00000138081	protein_coding	FBXO11
ENSG00000233230	lncRNA	AC079807.1
ENSG00000230773	lncRNA	AC092650.1
ENSG00000170802	protein_coding	FOXN2
ENSG00000272663	lncRNA	AC093635.1
ENSG00000162869	protein_coding	PPP1R21
ENSG00000243244	protein_coding	STON1
ENSG00000068781	protein_coding	STON1-GTF2A1L
ENSG00000242441	protein_coding	GTF2A1L
ENSG00000138039	protein_coding	LHCGR
ENSG00000282890	lncRNA	AC009975.1
ENSG00000170820	protein_coding	FSHR
ENSG00000282998	lncRNA	AC009975.2
ENSG00000282828	lncRNA	AC009971.1
ENSG00000179915	protein_coding	NRXN1
ENSG00000285548	lncRNA	AC068725.1
ENSG00000283058	lncRNA	AC009234.1
ENSG00000286412	lncRNA	AC007682.1
ENSG00000231918	lncRNA	AC007402.1
ENSG00000287867	lncRNA	AC007402.2
ENSG00000287344	lncRNA	AC079304.1
ENSG00000225444	lncRNA	LINC01867
ENSG00000236837	lncRNA	AC139712.3
ENSG00000228033	lncRNA	AC010967.1
ENSG00000232604	lncRNA	AC010967.2
ENSG00000115239	protein_coding	ASB3
ENSG00000143942	protein_coding	CHAC2
ENSG00000068912	protein_coding	ERLEC1
ENSG00000119737	protein_coding	GPR75
ENSG00000068878	protein_coding	PSME4
ENSG00000170634	protein_coding	ACYP2
ENSG00000272156	lncRNA	AC008280.3
ENSG00000178021	protein_coding	TSPYL6
ENSG00000177994	protein_coding	C2orf73
ENSG00000115306	protein_coding	SPTBN1
ENSG00000228108	lncRNA	AC092839.1
ENSG00000234943	lncRNA	AC092839.2
ENSG00000238018	lncRNA	AC093110.1
ENSG00000214595	protein_coding	EML6
ENSG00000231334	lncRNA	AC104781.1
ENSG00000285519	lncRNA	AC104781.2
ENSG00000115310	protein_coding	RTN4
ENSG00000162994	protein_coding	CLHC1
ENSG00000203327	lncRNA	AC012358.1
ENSG00000143947	protein_coding	RPS27A
ENSG00000085760	protein_coding	MTIF2
ENSG00000240401	lncRNA	AC012358.3
ENSG00000115355	protein_coding	CCDC88A
ENSG00000163001	protein_coding	CFAP36
ENSG00000275052	protein_coding	PPP4R3B
ENSG00000272606	lncRNA	AC015982.2
ENSG00000138035	protein_coding	PNPT1
ENSG00000115380	protein_coding	EFEMP1
ENSG00000272180	lncRNA	AC011306.1
ENSG00000226702	lncRNA	MIR217HG
ENSG00000229805	lncRNA	LINC01813
ENSG00000233251	lncRNA	AC007743.1
ENSG00000055813	protein_coding	CCDC85A
ENSG00000285755	lncRNA	AC132153.1
ENSG00000028116	protein_coding	VRK2
ENSG00000287875	lncRNA	AC068193.1
ENSG00000115392	protein_coding	FANCL
ENSG00000273063	lncRNA	AC007250.1
ENSG00000225226	lncRNA	LINC01795
ENSG00000233723	lncRNA	LINC01122
ENSG00000222030	lncRNA	LINC01793
ENSG00000271955	lncRNA	AC007100.1
ENSG00000233891	lncRNA	AC007179.2
ENSG00000231815	lncRNA	AC007179.1
ENSG00000286604	lncRNA	AC007100.2
ENSG00000285611	lncRNA	AC007132.1
ENSG00000228590	lncRNA	AC007381.1
ENSG00000287640	lncRNA	AC007381.2
ENSG00000119866	protein_coding	BCL11A
ENSG00000233953	lncRNA	AC009970.1
ENSG00000115421	protein_coding	PAPOLG
ENSG00000228414	lncRNA	LINC01185
ENSG00000162924	protein_coding	REL
ENSG00000267520	lncRNA	AC010733.2
ENSG00000162927	protein_coding	PUS10
ENSG00000162928	protein_coding	PEX13
ENSG00000162929	protein_coding	KIAA1841
ENSG00000212978	lncRNA	AC016747.1
ENSG00000237651	protein_coding	C2orf74
ENSG00000271889	lncRNA	AC016747.2
ENSG00000115464	protein_coding	USP34
ENSG00000273302	lncRNA	AC016747.3
ENSG00000270820	lncRNA	AC016727.1
ENSG00000082898	protein_coding	XPO1
ENSG00000285857	lncRNA	AC016727.3
ENSG00000170264	protein_coding	FAM161A
ENSG00000115484	protein_coding	CCT4
ENSG00000236498	lncRNA	AC107081.2
ENSG00000286360	lncRNA	AC107081.4
ENSG00000173163	protein_coding	COMMD1
ENSG00000229839	lncRNA	AC018462.1
ENSG00000170340	protein_coding	B3GNT2
ENSG00000228541	lncRNA	AC093159.1
ENSG00000186889	protein_coding	TMEM17
ENSG00000226622	lncRNA	AC092155.1
ENSG00000115504	protein_coding	EHBP1
ENSG00000286524	lncRNA	AC092567.2
ENSG00000226605	lncRNA	AC092567.1
ENSG00000231609	lncRNA	AC007098.1
ENSG00000115507	protein_coding	OTX1
ENSG00000286480	lncRNA	AC009501.3
ENSG00000143951	protein_coding	WDPCP
ENSG00000014641	protein_coding	MDH1
ENSG00000169764	protein_coding	UGP2
ENSG00000143952	protein_coding	VPS54
ENSG00000228079	lncRNA	AC012368.2
ENSG00000197329	protein_coding	PELI1
ENSG00000225889	lncRNA	AC012368.1
ENSG00000230923	lncRNA	LINC00309
ENSG00000238012	lncRNA	AC114752.1
ENSG00000238201	lncRNA	AC114752.2
ENSG00000223935	lncRNA	LGALSL-DT
ENSG00000119862	protein_coding	LGALSL
ENSG00000223863	lncRNA	LINC01805
ENSG00000260101	lncRNA	AC008074.2
ENSG00000119844	protein_coding	AFTPH
ENSG00000233694	lncRNA	LINC02579
ENSG00000179833	protein_coding	SERTAD2
ENSG00000226756	lncRNA	AC007365.1
ENSG00000287123	lncRNA	AC007880.1
